topic_label,Wilayah,Jumlah,Avg_Probability
Ketakutan & Dampak Banjir,Aceh Tamiang,19,0.6509
Ketakutan & Dampak Banjir,Aceh Utara,46,0.735
Ketakutan & Dampak Banjir,Agam,30,0.6681
Ketakutan & Dampak Banjir,"Desa Kuala Penaga, Aceh Tamiang",16,0.6941
Ketakutan & Dampak Banjir,"Desa Sekoci, Langkat",31,0.7411
Ketakutan & Dampak Banjir,Langsa,29,0.6749
Ketakutan & Dampak Banjir,"Nagari Ulakan, Padang Pariaman",21,0.7481
Ketakutan & Dampak Banjir,Pidie Jaya,20,0.7102
Ketakutan & Dampak Banjir,Sibolga Utara,41,0.7012
Ketakutan & Dampak Banjir,Tapsel,45,0.7267
Ketakutan & Dampak Banjir,Tapteng,33,0.656
