topic_label,topic_probability,Confidence_Level
Kebersihan & Aktivitas Pemulihan,0.8971,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.5972,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.3929,Rendah (<0.50)
Dampak Pendidikan & Tempat Tidur,0.3929,Rendah (<0.50)
Dampak Pendidikan & Tempat Tidur,0.75,Tinggi (≥0.75)
Bencana & Kehilangan Tempat Tinggal,0.5526,Sedang (0.50–0.74)
Bencana & Kehilangan Tempat Tinggal,0.2895,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.5111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.6111,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.5197,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.8158,Tinggi (≥0.75)
Bencana & Kehilangan Tempat Tinggal,0.3929,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.8793,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.4368,Rendah (<0.50)
Bencana & Kehilangan Tempat Tinggal,0.4065,Rendah (<0.50)
Keluhan Fisik & Kesehatan,0.5526,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.3304,Rendah (<0.50)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.7066,Sedang (0.50–0.74)
Kerusakan Rumah & Bantuan,0.3929,Rendah (<0.50)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.5064,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.8158,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.5189,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.5121,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.8542,Tinggi (≥0.75)
Kebersihan & Aktivitas Pemulihan,0.8542,Tinggi (≥0.75)
Kehilangan & Trauma Keluarga,0.75,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Kebutuhan Makan & Aktivitas Fisik,0.75,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6111,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.5526,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.8542,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8971,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.75,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.75,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.5953,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8971,Tinggi (≥0.75)
Kerusakan Rumah & Bantuan,0.8971,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.4375,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.4975,Rendah (<0.50)
Kerusakan Rumah & Bantuan,0.8793,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6714,Sedang (0.50–0.74)
Ketakutan & Dampak Banjir,0.8793,Tinggi (≥0.75)
Bencana & Kehilangan Tempat Tinggal,0.7069,Sedang (0.50–0.74)
Dampak Pendidikan & Tempat Tidur,0.3523,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.8793,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8158,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.9407,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.8542,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8793,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.9204,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.8971,Tinggi (≥0.75)
Keluhan Fisik & Kesehatan,0.6111,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.6111,Sedang (0.50–0.74)
Kehilangan & Trauma Keluarga,0.125,Rendah (<0.50)
Ketakutan & Dampak Banjir,0.7384,Sedang (0.50–0.74)
Kebersihan & Aktivitas Pemulihan,0.75,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.9102,Tinggi (≥0.75)
Ketakutan & Dampak Banjir,0.9103,Tinggi (≥0.75)
Kebutuhan Makan & Aktivitas Fisik,0.6125,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.7238,Sedang (0.50–0.74)
Keluhan Fisik & Kesehatan,0.5517,Sedang (0.50–0.74)
